Overall #,Round #,Team,Transactions,,,,Player Drafted
,,Eagles,,,,,
23,23-Jan,,,,,,Brian Thomas
,,Browns,Texans,Vikings,Jaguars,,
,,,,,,,
,,,Traded ? Deshaun Watson ? 2024 sixth round pick (#203-Will Reichard) to Browns for ? 2022 first round pick (#13-Jordan Davis) ? 2022 fourth round pick (#107-Dameon Pierce) ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 third round pick (#73-Jalin Hyatt) ? 2024 first round pick (#23-Brian Thomas) ? 2024 fourth round pick (#123-Cade Stover) on 2022-03-21,Traded ? 2024 second round pick (#42-Kamari Lassiter) ? 2024 sixth round pick (#188-Jamal Hill) ? 2025 second round pick (#56-Ozzy Trapilo) to Texans for ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 seventh round pick (#232-Levi Drake Rodriguez) on 2024-03-15,Traded ? 2024 first round pick (#17-Dallas Turner) to Vikings for ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 fifth round pick (#167-Keilan Robinson) ? 2025 third round pick (#88-Caleb Ransaw) ? 2025 fourth round pick (#126-Dylan Sampson) on 2024-04-25,,
24,24-Jan,,,,,,Terrion Arnold
,,Cowboys,Lions,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#29-Tyler Guyton) ? 2024 third round pick (#73-Cooper Beebe) to Cowboys for ? 2024 first round pick (#24-Terrion Arnold) ? 2025 seventh round pick (#228-Brashard Smith) on 2024-04-25,,,,
25,25-Jan,,,,,,Jordan Morgan
,,Packers,,,,,
26,26-Jan,,,,,,Graham Barton
,,Buccaneers,,,,,
27,27-Jan,,,,,,Darius Robinson
,,Texans,Cardinals,,,,
,,,,,,,
,,,Traded ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) to Texans for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) on 2023-04-27,,,,
28,28-Jan,,,,,,Xavier Worthy
,,Bills,Chiefs,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#32-Xavier Legette) ? 2024 third round pick (#95-DeWayne Carter) ? 2024 seventh round pick (#221-Travis Clayton) to Bills for ? 2024 first round pick (#28-Xavier Worthy) ? 2024 fourth round pick (#133-Jaden Hicks) ? 2024 seventh round pick (#248-C.J. Hanson) on 2024-04-25,,,,
29,29-Jan,,,,,,Tyler Guyton
,,Lions,Cowboys,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#24-Terrion Arnold) ? 2025 seventh round pick (#228-Brashard Smith) to Lions for ? 2024 first round pick (#29-Tyler Guyton) ? 2024 third round pick (#73-Cooper Beebe) on 2024-04-25,,,,
30,30-Jan,,,,,,Nate Wiggins
,,Ravens,,,,,
31,31-Jan,,,,,,Ricky Pearsall
,,49ers,,,,,
32,Jan-32,,,,,,Xavier Legette
,,Chiefs,Bills,Panthers,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#28-Xavier Worthy) ? 2024 fourth round pick (#133-Jaden Hicks) ? 2024 seventh round pick (#248-C.J. Hanson) to Chiefs for ? 2024 first round pick (#32-Xavier Legette) ? 2024 third round pick (#95-DeWayne Carter) ? 2024 seventh round pick (#221-Travis Clayton) on 2024-04-25,Traded ? 2024 second round pick (#33-Keon Coleman) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) to Bills for ? 2024 first round pick (#32-Xavier Legette) ? 2024 sixth round pick (#200-Jaden Crumedy) on 2024-04-25,,,
Round 2,,,,,,,
33,1-Feb,,,,,,Keon Coleman
,,Panthers,Bills,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#32-Xavier Legette) ? 2024 sixth round pick (#200-Jaden Crumedy) to Panthers for ? 2024 second round pick (#33-Keon Coleman) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) on 2024-04-25,,,,
34,2-Feb,,,,,,Ladd McConkey
,,Patriots,Chargers,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#37-Ja'Lynn Polk) ? 2024 fourth round pick (#110-Javon Baker) to Patriots for ? 2024 second round pick (#34-Ladd McConkey) ? 2024 fifth round pick (#137-Tarheeb Still) on 2024-04-26,,,,
35,3-Feb,,,,,,Ruke Orhorhoro
,,Cardinals,Falcons,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#43-Max Melton) ? 2024 third round pick (#79-Matt Goncalves) to Cardinals for ? 2024 second round pick (#35-Ruke Orhorhoro) ? 2024 sixth round pick (#186-Jase McClellan) on 2024-04-26,,,,
36,4-Feb,,,,,,Johnny Newton
,,Commanders,,,,,
37,5-Feb,,,,,,Ja'Lynn Polk
,,Chargers,Patriots,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#34-Ladd McConkey) ? 2024 fifth round pick (#137-Tarheeb Still) to Chargers for ? 2024 second round pick (#37-Ja'Lynn Polk) ? 2024 fourth round pick (#110-Javon Baker) on 2024-04-26,,,,
38,6-Feb,,,,,,T'Vondre Sweat
,,Titans,,,,,
39,7-Feb,,,,,,Braden Fiske
,,Giants,Panthers,Rams,,,
,,,,,,,
,,,Traded ? Brian Burns ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) to Giants for ? 2024 second round pick (#39-Braden Fiske) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) ? 2025 fifth round pick (#140-Cam Jackson) on 2024-03-13,Traded ? 2024 second round pick (#52-Adonai Mitchell) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 second round pick (#57-Tate Ratledge) to Panthers for ? 2024 second round pick (#39-Braden Fiske) on 2024-04-26,,,
40,8-Feb,,,,,,Cooper DeJean
,,Bears,Commanders,Eagles,,,
,,,,,,,
,,,Traded ? Montez Sweat to Bears for ? 2024 second round pick (#40-Cooper DeJean) on 2023-10-31,Traded ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) to Commanders for ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) on 2024-04-26,,,
41,9-Feb,,,,,,Kool-Aid McKinstry
,,Jets,Packers,Saints,,,
,,,,,,,
,,,"Traded ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) to Jets for ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) on 2023-04-26",Traded ? 2024 second round pick (#45-Edgerrin Cooper) ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#190-Dylan McMahon) to Packers for ? 2024 second round pick (#41-Kool-Aid McKinstry) on 2024-04-26,,,
42,10-Feb,,,,,,Kamari Lassiter
,,Vikings,Texans,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 seventh round pick (#232-Levi Drake Rodriguez) to Vikings for ? 2024 second round pick (#42-Kamari Lassiter) ? 2024 sixth round pick (#188-Jamal Hill) ? 2025 second round pick (#56-Ozzy Trapilo) on 2024-03-15,,,,
43,11-Feb,,,,,,Max Melton
,,Falcons,Cardinals,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#35-Ruke Orhorhoro) ? 2024 sixth round pick (#186-Jase McClellan) to Falcons for ? 2024 second round pick (#43-Max Melton) ? 2024 third round pick (#79-Matt Goncalves) on 2024-04-26,,,,
44,12-Feb,,,,,,Jackson Powers-Johnson
,,Raiders,,,,,
45,13-Feb,,,,,,Edgerrin Cooper
,,Broncos,Saints,Packers,,,
,,,,,,,
,,,Traded ? rights to head coach Sean Payton ? 2024 third round pick (#81-Christian Haynes) to Broncos for ? 2023 first round pick (#29-Bryan Bresee) ? 2024 second round pick (#45-Edgerrin Cooper) on 2023-01-31,Traded ? 2024 second round pick (#41-Kool-Aid McKinstry) to Saints for ? 2024 second round pick (#45-Edgerrin Cooper) ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-26,,,
46,14-Feb,,,,,,Jonathon Brooks
,,Colts,Panthers,,,,
,,,,,,,
,,,Traded ? 2024 second round piuck (#52-Adonai Mitchell) ? 2024 fifth round pick (#142-Anthony Gould) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) to Colts for ? 2024 second round pick (#46-Jonathon Brooks) on 2024-04-26,,,,
47,15-Feb,,,,,,Tyler Nubin
,,Seahawks,Giants,,,,
,,,,,,,
,,,Traded ? Leonard Williams (Austin) to Seahawks for ? 2024 second round pick (#47-Tyler Nubin) ? 2025 fifth round pick (#154-Marcus Mbow) on 2023-10-31,,,,
48,16-Feb,,,,,,Maason Smith
,,Jaguars,,,,,
49,17-Feb,,,,,,Kris Jenkins
,,Bengals,,,,,
50,18-Feb,,,,,,Mike Sainristil
,,Saints,Eagles,Commanders,,,
,,,,,,,
,,,Traded ? 2022 first round pick (#16-Jahan Dotson) ? 2022 first round pick (#19-Trevor Penning) ? 2022 sixth round pick (#194-Jordan Jackson) to Saints for ? 2022 first round pick (#18-Treylon Burks) ? 2022 third round pick (#101-Jeremy Ruckert) ? 2022 seventh round pick (#237-Chase Lucas) ? 2023 first round pick (#10-Darnell Wright) ? 2024 second round pick (#50-Mike Sainristil) on 2022-04-04,Traded ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) to Eagles for ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) on 2024-04-26,,,
51,19-Feb,,,,,,Zach Frazier
,,Steelers,,,,,
52,20-Feb,,,,,,Adonai Mitchell
,,Rams,Panthers,Colts,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#39-Braden Fiske) to Rams for ? 2024 second round pick (#52-Adonai Mitchell) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 second round pick (#57-Tate Ratledge) on 2024-04-26,Traded ? 2024 second round pick (#46-Jonathon Brooks) to Panthers for ? 2024 second round piuck (#52-Adonai Mitchell) ? 2024 fifth round pick (#142-Anthony Gould) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) on 2024-04-26,,,
53,21-Feb,,,,,,Ben Sinnott
,,Eagles,Commanders,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) to Eagles for ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) on 2024-04-26,,,,
54,22-Feb,,,,,,Michael Hall Jr.
,,Browns,,,,,
55,23-Feb,,,,,,Patrick Paul
,,Dolphins,,,,,
56,24-Feb,,,,,,Marshawn Kneeland
,,Cowboys,,,,,
57,25-Feb,,,,,,Chris Braswell
,,Buccaneers,,,,,
58,26-Feb,,,,,,Javon Bullard
,,Packers,,,,,
59,27-Feb,,,,,,Blake Fisher
,,Texans,,,,,
60,28-Feb,,,,,,Cole Bishop
,,Bills,,,,,
61,Feb-29,,,,,,Ennis Rakestraw Jr.
,,Lions,,,,,
62,Feb-30,,,,,,Roger Rosengarten
,,Ravens,,,,,
63,Feb-31,,,,,,Kingsley Suamataia
,,49ers,Chiefs,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#64-Renardo Green) ? 2024 fifth round pick (#173-Isaiah Davis) to 49ers for ? 2024 second round pick (#63-Kingsley Suamataia) ? 2024 sixth round pick (#211-Kamal Hadden) on 2024-04-26,,,,
64,Feb-32,,,,,,Renardo Green
,,Chiefs,49ers,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#63-Kingsley Suamataia) ? 2024 sixth round pick (#211-Kamal Hadden) to Chiefs for ? 2024 second round pick (#64-Renardo Green) ? 2024 fifth round pick (#173-Isaiah Davis) on 2024-04-26,,,,
Round 3,,,,,,,
65,1-Mar,,,,,,Malachi Corley
,,Panthers,Jets,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#72-Trevin Wallace) ? 2024 fifth round pick (#157-Chau Smith-Wade) to Panthers for ? 2024 third round pick (#65-Malachi Corley) on 2024-04-26,,,,
66,2-Mar,,,,,,Trey Benson
,,Cardinals,,,,,
67,3-Mar,,,,,,Brandon Coleman
,,Commanders,,,,,
68,4-Mar,,,,,,Caedan Wallace
,,Patriots,,,,,
69,5-Mar,,,,,,Junior Colson
,,Chargers,,,,,
70,6-Mar,,,,,,Andru Phillips
,,Giants,,,,,
71,7-Mar,,,,,,Isaiah Adams
,,Titans,Cardinals,,,,
,,,,,,,
,,,Traded ? 2023 second round pick (#33-Will Levis) ? 2023 third round pick (#81-Tyjae Spears) to Titans for ? 2023 second round pick (#41-B.J. Ojulari) ? 2023 third round pick (#72-Garrett Williams) ? 2024 third round pick (#71-Isaiah Adams) on 2023-04-28,,,,
72,8-Mar,,,,,,Trevin Wallace
,,Jets,Panthers,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#65-Malachi Corley) to Jets for ? 2024 third round pick (#72-Trevin Wallace) ? 2024 fifth round pick (#157-Chau Smith-Wade) on 2024-04-26,,,,
73,9-Mar,,,,,,Cooper Beebe
,,Vikings,Lions,Cowboys,,,
,,,,,,,
,,,"Traded ? T.J. Hockenson ? 2023 fourth round pick (#119-Chamarri Conner) ? 2024 conditional round pick (fourth round if Vikings do not win a playoff game in 2022, else fifth round) (#129-Isaac Guerendo) to Vikings for ? 2023 second round pick (#55-Rashee Rice) ? 2024 third round pick (#73-Cooper Beebe) on 2022-11-01",Traded ? 2024 first round pick (#24-Terrion Arnold) ? 2025 seventh round pick (#228-Brashard Smith) to Lions for ? 2024 first round pick (#29-Tyler Guyton) ? 2024 third round pick (#73-Cooper Beebe) on 2024-04-25,,,
74,10-Mar,,,,,,Bralen Trice
,,Falcons,,,,,
75,11-Mar,,,,,,Kiran Amegadjie
,,Bears,,,,,
76,12-Mar,,,,,,Jonah Elliss
,,Broncos,,,,,
77,13-Mar,,,,,,Delmar Glaze
,,Raiders,,,,,
78,14-Mar,,,,,,Calen Bullock
,,Seahawks,Commanders,Eagles,Texans,,
,,,,,,,
,,,Traded ? Sam Howell ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 sixth round pick (#179-Sataoa Laumea) to Seahawks for ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) on 2024-03-15,Traded ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) to Commanders for ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) on 2024-04-26,Traded ? 2024 third round pick (#86-Dominick Puni) ? 2024 fourth round pick (#123-Cade Stover) to Eagles for ? 2024 third round pick (#78-Calen Bullock) on 2024-04-26,,
79,15-Mar,,,,,,Matt Goncalves
,,Jaguars,Falcons,Cardinals,Colts,,
,,,,,,,
,,,"Traded ? Calvin Ridley to Jaguars for ? 2023 conditional round pick (fifth round if Ridley is reinstated from suspension by an unspecified date, else sixth round) (#159-Dontayvion Wicks) ? 2024 conditional round pick (second round if Ridley signs a contract extension with Jaguars, third round if Ridley plays in 60% of Jaguars offensive snaps and/or has 75 receptions or 1,000 receiving yards in 2023, fourth round if Ridley is reinstated from suspension by an unspecified date and makes Jaguars roster) (#79-Matt Goncalves) on 2022-11-01",Traded ? 2024 second round pick (#35-Ruke Orhorhoro) ? 2024 sixth round pick (#186-Jase McClellan) to Falcons for ? 2024 second round pick (#43-Max Melton) ? 2024 third round pick (#79-Matt Goncalves) on 2024-04-26,Traded ? 2024 third round pick (#82-Tip Reiman) ? 2024 sixth round pick (#191-Tejhaun Palmer) to Cardinals for ? 2024 third round pick (#79-Matt Goncalves) on 2024-04-26,,
80,16-Mar,,,,,,Jermaine Burton
,,Bengals,,,,,
81,17-Mar,,,,,,Christian Haynes
,,Saints,Broncos,Seahawks,,,
,,,,,,,
,,,Traded ? 2023 first round pick (#29-Bryan Bresee) ? 2024 second round pick (#45-Edgerrin Cooper) to Saints for ? rights to head coach Sean Payton ? 2024 third round pick (#81-Christian Haynes) on 2023-01-31,"Traded ? 2023 third round pick (#83-Riley Moss) to Broncos for ? 2023 fourth round pick (#108-Anthony Bradford) ? 2024 third round pick (least favorable of Broncos, Saints picks) (#81-Christian Haynes) on 2023-04-28",,,
82,18-Mar,,,,,,Tip Reiman
,,Colts,Cardinals,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#79-Matt Goncalves) to Colts for ? 2024 third round pick (#82-Tip Reiman) ? 2024 sixth round pick (#191-Tejhaun Palmer) on 2024-04-26,,,,
83,19-Mar,,,,,,Blake Corum
,,Rams,,,,,
84,20-Mar,,,,,,Roman Wilson
,,Steelers,,,,,
85,21-Mar,,,,,,Zak Zinter
,,Browns,,,,,
,,,"team forfeited ? 2023 first round pick ? 2024 third round pick for violating league policies pertaining to the integrity of the game (violated league tampering rules with Tom Brady and Sean Payton while they were under contract with other teams, and team intentionally lost games during 2019 season to improve its draft position)",,,,
,,Dolphins,,,,,
86,22-Mar,,,,,,Dominick Puni
,,Eagles,Texans,Eagles,49ers,,
,,,,,,,
,,,Traded ? 2023 fourth round pick (#105-Kelee Ringo) to Eagles for ? 2024 third round pick (#86-Dominick Puni) on 2023-04-29,Traded ? 2024 third round pick (#78-Calen Bullock) to Texans for ? 2024 third round pick (#86-Dominick Puni) ? 2024 fourth round pick (#123-Cade Stover) on 2024-04-26,Traded ? 2024 third round pick (#94-Jalyx Hunt) ? 2024 fourth round pick (#132-Sione Vaki) to Eagles for ? 2024 third round pick (#86-Dominick Puni) on 2024-04-26,,
87,23-Mar,,,,,,Marist Liufau
,,Cowboys,,,,,
88,24-Mar,,,,,,MarShawn Lloyd
,,Packers,,,,,
89,25-Mar,,,,,,Tykee Smith
,,Buccaneers,,,,,
90,26-Mar,,,,,,Elijah Jones
,,Texans,Cardinals,,,,
,,,,,,,
,,,Traded ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) to Texans for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) on 2023-04-27,,,,
91,27-Mar,,,,,,Ty'Ron Hopper
,,Bills,Packers,,,,
,,,,,,,
,,,Traded ? Rasul Douglas ? 2024 fifth round pick (#160-Edefuan Ulofoshio) to Bills for ? 2024 third round pick (#91-Ty'Ron Hopper) on 2023-10-31,,,,
92,28-Mar,,,,,,Jalen McMillan
,,Lions,Buccaneers,,,,
,,,,,,,
,,,Traded ? Carlton Davis ? 2024 sixth round pick (#201-Micah Abraham) ? 2025 sixth round pick (#196-Ahmed Hassanein) to Lions for ? 2024 third round pick (#92-Jalen McMillan) on 2024-03-13,,,,
93,29-Mar,,,,,,Adisa Isaac
,,Ravens,,,,,
94,30-Mar,,,,,,Jalyx Hunt
,,49ers,Eagles,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#86-Dominick Puni) to 49ers for ? 2024 third round pick (#94-Jalyx Hunt) ? 2024 fourth round pick (#132-Sione Vaki) on 2024-04-26,,,,
95,31-Mar,,,,,,DeWayne Carter
,,Chiefs,Bills,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#28-Xavier Worthy) ? 2024 fourth round pick (#133-Jaden Hicks) ? 2024 seventh round pick (#248-C.J. Hanson) to Chiefs for ? 2024 first round pick (#32-Xavier Legette) ? 2024 third round pick (#95-DeWayne Carter) ? 2024 seventh round pick (#221-Travis Clayton) on 2024-04-25,,,,
96,Mar-32,,,,,,Jarrian Jones
,,NFL,Jaguars,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Marvin Jones, Arden Key, Chris Manhertz, Jawaan Taylor",,,,
97,Mar-33,,,,,,McKinnley Jackson
,,NFL,Bengals,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jessie Bates, Vonn Bell, Hayden Hurst, Samaje Perine",,,,
98,Mar-34,,,,,,Payton Wilson
,,NFL,Eagles,Steelers,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andre Dillard, T.J. Edwards, Marcus Epps, Chauncey Gardner-Johnson, Javon Hargrave, Gardner Minshew, Miles Sanders, Isaac Seumalo, Kyzir White","Traded ? Kenny Pickett ? 2024 fourth round pick (#120-Jaylen Wright) to Eagles for ? 2024 third round pick (#98-Payton Wilson) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#223-Damien Martinez) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#229-Donte Kent) on 2024-03-16",,,
99,Mar-35,,,,,,Kamren Kinchens
,,NFL,Rams,,,,
,,,,,,,
,,,"Awarded 2024 third round pick (#99-Kamren Kinchens), 2025 third round pick (#101-Sai'vion Jones) by NFL as compensation for Falcons hiring former Rams defensive coordinator Raheem Morris as their head coach",,,,
100,Mar-36,,,,,,Luke McCaffrey
,,NFL,49ers,Commanders,,,
,,,,,,,
,,,Awarded ? 2023 third round pick (#102-Mekhi Blackmon) ? 2024 third round pick (#100-Luke McCaffrey) by NFL as compensation for Titans hiring former 49ers director of player personnel Ran Carthon as their general manager,Traded ? Chase Young to 49ers for ? 2024 third round pick (compensatory pick) (#100-Luke McCaffrey) on 2023-10-31,,,
Round 4,,,,,,,
101,1-Apr,,,,,,Ja'Tavion Sanders
,,Panthers,,,,,
102,2-Apr,,,,,,Troy Franklin
,,Commanders,Seahawks,Broncos,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) to Commanders for ? Sam Howell ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 sixth round pick (#179-Sataoa Laumea) on 2024-03-15,Traded ? 2024 fourth round pick (#121-A.J. Barner) ? 2024 fifth round pick (#136-Nehemiah Pritchett) ? 2024 sixth round pick (#207-Mike Jerrell) to Seahawks for ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 seventh round pick (#235-Devaughn Vele) on 2024-04-27,,,
103,3-Apr,,,,,,Layden Robinson
,,Patriots,,,,,
104,4-Apr,,,,,,Dadrion Taylor-Demerson
,,Cardinals,,,,,
105,5-Apr,,,,,,Justin Eboigbe
,,Chargers,,,,,
106,6-Apr,,,,,,Cedric Gray
,,Titans,,,,,
107,7-Apr,,,,,,Theo Johnson
,,Giants,,,,,
108,8-Apr,,,,,,Khyree Jackson
,,Vikings,,,,,
109,9-Apr,,,,,,Brandon Dorlus
,,Falcons,,,,,
110,10-Apr,,,,,,Javon Baker
,,Bears,Chargers,Patriots,,,
,,,,,,,
,,,Traded ? Keenan Allen to Bears for ? 2024 fourth round pick (#110-Javon Baker) on 2024-03-15,Traded ? 2024 second round pick (#34-Ladd McConkey) ? 2024 fifth round pick (#137-Tarheeb Still) to Chargers for ? 2024 second round pick (#37-Ja'Lynn Polk) ? 2024 fourth round pick (#110-Javon Baker) on 2024-04-26,,,
111,11-Apr,,,,,,Evan Williams
,,Jets,Packers,,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#126-Giovanni Manu) ? 2024 sixth round pick (#190-Dylan McMahon) to Jets for ? 2024 fourth round pick (#111-Evan Williams) on 2024-04-27,,,,
112,12-Apr,,,,,,Decamerion Richardson
,,Raiders,,,,,
113,13-Apr,,,,,,Devontez Walker
,,Broncos,Jets,Ravens,,,
,,,,,,,
,,,Traded ? Jake Martin ? 2024 fifth round pick (#145-Kris Abrams-Draine) to Broncos for ? 2024 fourth round pick (#113-Devontez Walker) on 2022-11-01,Traded ? Morgan Moses ? 2024 fourth round pick (#134-Braelon Allen) to Jets for ? 2024 fourth round pick (#113-Devontez Walker) ? 2024 sixth round pick (#218-Devin Leary) on 2024-03-13,,,
114,14-Apr,,,,,,Javon Foster
,,Jaguars,,,,,
115,15-Apr,,,,,,Erick All
,,Bengals,,,,,
116,16-Apr,,,,,,Jordan Jefferson
,,Saints,Jaguars,,,,
,,,,,,,
,,,Traded ? 2023 fourth round pick (#127-Jake Haener) to Saints for ? 2023 seventh round pick (#227-Raymond Vohasek) ? 2024 fourth round pick (#116-Jordan Jefferson) on 2023-04-29,,,,
117,17-Apr,,,,,,Tanor Bortolini
,,Colts,,,,,
118,18-Apr,,,,,,Tyrice Knight
,,Seahawks,,,,,
119,19-Apr,,,,,,Mason McCormick
,,Steelers,,,,,
120,20-Apr,,,,,,Jaylen Wright
,,Rams,Steelers,Eagles,Dolphins,,
,,,,,,,
