Overall #,Round #,Team,Transactions,,,,Player Drafted
Round 1,,,,,,,
1,1-Jan,,,,,,Caleb Williams
,,Panthers,Bears,,,,
,,,,,,,
,,,Traded ? 2023 first round pick (#1-Bryce Young) to Panthers for ? D.J. Moore (Jr.) ? 2023 first round pick (#9-Jalen Carter) ? 2023 second round pick (#61-Brenton Strange) ? 2024 first round pick (#1-Caleb Williams) ? 2025 second round pick (#39-Luther Burden III) on 2023-03-15,,,,
2,2-Jan,,,,,,Jayden Daniels
,,Commanders,,,,,
3,3-Jan,,,,,,Drake Maye
,,Patriots,,,,,
4,4-Jan,,,,,,Marvin Harrison Jr.
,,Cardinals,,,,,
5,5-Jan,,,,,,Joe Alt
,,Chargers,,,,,
6,6-Jan,,,,,,Malik Nabers
,,Giants,,,,,
7,7-Jan,,,,,,J.C. Latham
,,Titans,,,,,
8,8-Jan,,,,,,Michael Penix Jr.
,,Falcons,,,,,
9,9-Jan,,,,,,Rome Odunze
,,Bears,,,,,
10,10-Jan,,,,,,J.J. McCarthy
,,Jets,Vikings,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#11-Olu Fashanu) ? 2024 fourth round pick (#129-Isaac Guerendo) ? 2024 fifth round pick (#157-Chau Smith-Wade) to Jets for ? 2924 first round pick (#10-J.J. McCarthy) ? 2024 sixth round pick (#203-Will Reichard) on 2024-04-25,,,,
11,11-Jan,,,,,,Olu Fashanu
,,Vikings,Jets,,,,
,,,,,,,
,,,Traded ? 2924 first round pick (#10-J.J. McCarthy) ? 2024 sixth round pick (#203-Will Reichard) to Vikings for ? 2024 first round pick (#11-Olu Fashanu) ? 2024 fourth round pick (#129-Isaac Guerendo) ? 2024 fifth round pick (#157-Chau Smith-Wade) on 2024-04-25,,,,
12,12-Jan,,,,,,Bo Nix
,,Broncos,,,,,
13,13-Jan,,,,,,Brock Bowers
,,Raiders,,,,,
14,14-Jan,,,,,,Taliese Fuaga
,,Saints,,,,,
15,15-Jan,,,,,,Laiatu Latu
,,Colts,,,,,
16,16-Jan,,,,,,Byron Murphy II
,,Seahawks,,,,,
17,17-Jan,,,,,,Dallas Turner
,,Jaguars,Vikings,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 fifth round pick (#167-Keilan Robinson) ? 2025 third round pick (#88-Caleb Ransaw) ? 2025 fourth round pick (#126-Dylan Sampson) to Jaguars for ? 2024 first round pick (#17-Dallas Turner) on 2024-04-25,,,,
18,18-Jan,,,,,,Amarius Mims
,,Bengals,,,,,
19,19-Jan,,,,,,Jared Verse
,,Rams,,,,,
20,20-Jan,,,,,,Troy Fautanu
,,Steelers,,,,,
21,21-Jan,,,,,,Chop Robinson
,,Dolphins,,,,,
22,22-Jan,,,,,,Quinyon Mitchell
