Overall #,Round #,Team,Transactions,,,,,Player Drafted
Round 1,,,,,,,,
,,NFL,Browns,,,,,
,,,,,,,,
,,,Awarded ? 2022 third round pick (#99-David Bell) ? 2023 third round pick (#98-Siaki Ika) by NFL as compensation for Vikings hiring former Browns vice president of football operations Kwesi Adofo-Mensah as their general manager,,,,,
99,Mar-36,,,,,,,Jake Moody
,,NFL,49ers,,,,,
,,,,,,,,
,,,Awarded ? 2021 third round pick (#102-Ambry Thomas) ? 2022 third round pick (#102-Channing Tindall) ? 2023 third round pick (#99-Jake Moody) by NFL as compensation for Jets hiring former 49ers defensive coordinator Robert Saleh as their head coach and the Washington Football Team hiring former 49ers executive Martin Mayhew as their general manager,,,,,
100,Mar-37,,,,,,,Tre Tucker
,,NFL,Chiefs,Giants,Raiders,,,
,,,,,,,,
,,,Awarded ? 2022 third round pick (#103-Leo Chenal) ? 2023 third round pick (#100-Tre Tucker) by NFL as compensation for Bears hiring Ryan Poles as their general manager,Traded ? Kadarius Toney to Chiefs for ? 2023 third round pick (compensatory) (#100-Tre Tucker) ? 2023 sixth round pick (#209-Tre Hawkins III) on 2022-10-27,Traded ? Darren Waller to Giants for ? 2023 third round pick (#100-Tre Tucker) on 2023-03-15,,,
101,Mar-38,,,,,,,Cameron Latu
,,NFL,49ers,,,,,
,,,,,,,,
,,,Awarded ? 2022 third round pick (#105-Danny Gray) ? 2023 third round pick (#101-Cameron Latu) by NFL as compensation for Dolphins hiring former 49ers offensive coordinator Mike McDaniel as their head coach,,,,,
102,Mar-39,,,,,,,Mekhi Blackmon
,,NFL,49ers,Vikings,,,,
,,,,,,,,
,,,Awarded ? 2023 third round pick (#102-Mekhi Blackmon) ? 2024 third round pick (#100-Luke McCaffrey) by NFL as compensation for Titans hiring former 49ers director of player personnel Ran Carthon as their general manager,Traded ? 2023 third round pick (#87-Ji'Ayir Brown) to 49ers for ? 2023 third round pick (#102-Mekhi Blackmon) ? 2023 fifth round pick (#164-Jaren Hall) ? 2023 seventh round pick (#222-DeWayne McBride) on 2023-04-28,,,,
Round 4,,,,,,,,
103,1-Apr,,,,,,,Nick Saldiveri
,,Bears,Saints,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#115-Roschon Johnson) ? 2023 fifth round pick (#165-Terell Smith) to Bears for ? 2023 fourth round pick (#103-Nick Saldiveri) on 2023-04-29,,,,,
104,2-Apr,,,,,,,Jakorian Bennett
,,Texans,Raiders,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#109-Dylan Horton) ? 2023 fifth round pick (#174-Warren McClendon) to Texans for ? 2023 fourth round pick (#104-Jakorian Bennett) ? 2023 sixth round pick (#203-Amari Burney) on 2023-04-29,,,,,
105,3-Apr,,,,,,,Kelee Ringo
,,Cardinals,Texans,Eagles,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#33-Will Levis) ? 2024 first round pick (#27-Darius Robinson) ? 2024 third round pick (#90-Elijah Jones) to Cardinals for ? 2023 first round pick (#3-Will Anderson Jr.) ? 2023 fourth round pick (#105-Kelee Ringo) on 2023-04-27,Traded ? 2024 third round pick (#86-Dominick Puni) to Texans for ? 2023 fourth round pick (#105-Kelee Ringo) on 2023-04-29,,,,
106,4-Apr,,,,,,,Blake Freeland
,,Colts,,,,,,
107,5-Apr,,,,,,,Jake Andrews
,,Rams,Patriots,,,,,
,,,,,,,,
,,,Traded ? Sony Michel to Rams for ? 2022 sixth round pick (#210-Chasen Hines) ? 2023 fourth round pick (#107-Jake Andrews) on 2021-08-25,,,,,
108,6-Apr,,,,,,,Anthony Bradford
,,Broncos,Seahawks,,,,,
,,,,,,,,
,,,"Traded ? 2023 third round pick (#83-Riley Moss) to Broncos for ? 2023 fourth round pick (#108-Anthony Bradford) ? 2024 third round pick (least favorable of Broncos, Saints picks) (#81-Christian Haynes) on 2023-04-28",,,,,
109,7-Apr,,,,,,,Dylan Horton
,,Raiders,Texans,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#104-Jakorian Bennett) ? 2023 sixth round pick (#203-Amari Burney) to Raiders for ? 2023 fourth round pick (#109-Dylan Horton) ? 2023 fifth round pick (#174-Warren McClendon) on 2023-04-29,,,,,
110,8-Apr,,,,,,,Adetomiwa Adebawore
,,Titans,Falcons,Colts,,,,
,,,,,,,,
,,,"Traded ? Julio Jones ? 2023 sixth round pick (#186-Jaelyn Duncan) to Titans for ? 2022 second round pick (#58-Troy Andersen) ? 2023 conditional fourth round pick (Titans compensatory pick if they are awarded one, else Titans original pick) (#110-Adetomiwa Adebawore) on 2021-06-09",Traded ? 2023 second round pick (#38-Matthew Bergeron) to Falcons for ? 2023 second round pick (#44-Julius Brents) ? 2023 fourth round pick (#110-Adetomiwa Adebawore) on 2023-04-28,,,,
111,9-Apr,,,,,,,Dawand Jones
,,Browns,,,,,,
112,10-Apr,,,,,,,Chad Ryland
,,Jets,Patriots,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#120-Carter Warren) ? 2023 sixth round pick (#184-Zaire Barnes) to Jets for ? 2023 fourth round pick (#112-Chad Ryland) on 2023-04-29,,,,,
113,11-Apr,,,,,,,Clark Phillips III
,,Falcons,,,,,,
114,12-Apr,,,,,,,Chandler Zavala
,,Panthers,,,,,,
115,13-Apr,,,,,,,Roschon Johnson
,,Saints,Bears,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#103-Nick Saldiveri) to Saints for ? 2023 fourth round pick (#115-Roschon Johnson) ? 2023 fifth round pick (#165-Terell Smith) on 2023-04-29,,,,,
116,14-Apr,,,,,,,Colby Wooden
,,Packers,,,,,,
117,15-Apr,,,,,,,Sidy Sow
,,Patriots,,,,,,
118,16-Apr,,,,,,,Braeden Daniels
,,Commanders,,,,,,
119,17-Apr,,,,,,,Chamarri Conner
,,Lions,Vikings,Chiefs,,,,
,,,,,,,,
,,,"Traded ? 2023 second round pick (#55-Rashee Rice) ? 2024 third round pick (#73-Cooper Beebe) to Lions for ? T.J. Hockenson ? 2023 fourth round pick (#119-Chamarri Conner) ? 2024 conditional round pick (fourth round if Vikings do not win a playoff game in 2022, else fifth round) (#129-Isaac Guerendo) on 2022-11-01",Traded ? 2023 fourth round pick (#134-Jay Ward) ? 2024 fifth round pick (#167-Keilan Robinson) to Vikings for ? 2023 fourth round pick (#119-Chamarri Conner) on 2023-04-29,,,,
120,18-Apr,,,,,,,Carter Warren
,,Steelers,Patriots,Jets,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#14-Broderick Jones) to Steelers for ? 2023 first round pick (#17-Christian Gonzalez) ? 2023 fourth round pick (#120-Carter Warren) on 2023-04-27,Traded ? 2023 fourth round pick (#112-Chad Ryland) to Patriots for ? 2023 fourth round pick (#120-Carter Warren) ? 2023 sixth round pick (#184-Zaire Barnes) on 2023-04-29,,,,
121,19-Apr,,,,,,,Ventrell Miller
,,Buccaneers,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2022 fifth round pick (#157-Zyon McCollum) ? 2022 seventh round pick (#235-Daniel Hardy) to Buccaneers for ? 2023 fourth round pick (#121-Ventrell Miller) on 2022-04-30,,,,,
122,20-Apr,,,,,,,Jon Gaines II
,,Dolphins,Chiefs,Lions,Cardinals,,,
,,,,,,,,
,,,Traded ? Tyreek Hill to Dolphins for ? 2022 first round pick (#29-Cole Strange) ? 2022 second round pick (#50-Tyquan Thornton) ? 2022 fourth round pick (#121-Jack Jones (b. 1997-12-20)) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 sixth round pick (#178-Eric Scott Jr.) on 2022-03-24,Traded ? 2023 second round pick (#55-Rashee Rice) ? 2023 sixth round pick (#194-Keondre Coburn) to Chiefs for ? 2023 second round pick (#63-Marvin Mims) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 seventh round pick (#249-Moro Ojomo) on 2023-04-28,Traded ? 2023 third round pick (#96-Brodric Martin) to Lions for ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 fifth round pick (#139-Clayton Tune) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-28,,,
123,21-Apr,,,,,,,Cameron Young
,,Seahawks,,,,,,
124,22-Apr,,,,,,,Tavius Robinson
,,Ravens,,,,,,
125,23-Apr,,,,,,,Derius Davis
,,Chargers,,,,,,
126,24-Apr,,,,,,,Isaiah McGuire
,,Vikings,Browns,,,,,
,,,,,,,,
,,,Traded ? 2022 fourth round pick (#118-Akayleb Evans) to Vikings for ? 2022 fifth round pick (#156-Jerome Ford) ? 2023 fourth round pick (#126-Isaiah McGuire) on 2022-04-30,,,,,
127,25-Apr,,,,,,,Jake Haener
,,Jaguars,Saints,,,,,
,,,,,,,,
,,,Traded ? 2023 seventh round pick (#227-Raymond Vohasek) ? 2024 fourth round pick (#116-Jordan Jefferson) to Jaguars for ? 2023 fourth round pick (#127-Jake Haener) on 2023-04-29,,,,,
128,26-Apr,,,,,,,Stetson Bennett
,,Giants,Rams,,,,,
,,,,,,,,
,,,Traded ? 2023 third round pick (#73-Jalin Hyatt) to Giants for ? 2023 third round pick (#89-Kobie Turner) ? 2023 fourth round pick (#128-Stetson Bennett) on 2023-04-28,,,,,
129,27-Apr,,,,,,,Viliami Fehoko Jr.
,,Cowboys,,,,,,
130,28-Apr,,,,,,,Tyler Lacy
,,Bills,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#25-Dalton Kincaid) to Bills for ? 2023 first round pick (#27-Anton Harrison) ? 2023 fourth round pick (#130-Tyler Lacy) on 2023-04-27,,,,,
131,29-Apr,,,,,,,Charlie Jones
,,Bengals,,,,,,
132,30-Apr,,,,,,,Nick Herbig
,,49ers,Panthers,Steelers,,,,
,,,,,,,,
,,,Traded ? Christian McCaffrey to 49ers for ? 2023 second round pick (#61-Brenton Strange) ? 2023 third round pick (#93-Darnell Washington) ? 2023 fourth round pick (#132-Nick Herbig) ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) on 2022-10-21,Traded ? 2023 third round pick (#80-D.J. Johnson) to Panthers for ? 2023 third round pick (#93-Darnell Washington) ? 2023 fourth round pick (#132-Nick Herbig) on 2023-04-28,,,,
133,Apr-31,,,,,,,Tyler Scott
,,Eagles,Bears,,,,,
,,,,,,,,
,,,Traded ? Robert Quinn to Eagles for ? 2023 fourth round pick (#133-Tyler Scott) on 2022-10-27,,,,,
134,Apr-32,,,,,,,Jay Ward
,,Chiefs,Vikings,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#119-Chamarri Conner) to Chiefs for ? 2023 fourth round pick (#134-Jay Ward) ? 2024 fifth round pick (#167-Keilan Robinson) on 2023-04-29,,,,,
135,Apr-33,,,,,,,Aidan O'Connell
,,NFL,Patriots,Raiders,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? J.C. Jackson ? Ted Karras,Traded ? 2023 fifth round pick (#144-Atonio Mafi) ? 2023 sixth round pick (#214-Ameer Speed) to Patriots for ? 2023 fourth round pick (#135-Aidan O'Connell) on 2023-04-29,,,,
Round 5,,,,,,,,
136,1-May,,,,,,,Yasir Abdullah
,,Bears,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#56-Tyrique Stevenson) to Bears for ? 2023 second round pick (#61-Brenton Strange) ? 2023 fifth round pick (#136-Yasir Abdullah) on 2023-04-28,,,,,
,,,Texans forfeited 2023 fifth round pick and fined $175K by NFL as penalty for a salary cap reporting violation,,,,,
,,Texans,,,,,,
137,2-May,,,,,,,K.J. Henry
,,Cardinals,Bills,Commanders,,,,
,,,,,,,,
,,,Traded ? Cody Ford to Cardinals for ? 2023 fifth round pick (#137-K.J. Henry) on 2022-08-22,Traded ? 2023 fifth round pick (#150-Justin Shorter) ? 2023 sixth round pick (#215-Zach Evans) to Bills for ? 2023 fifth round pick (#137-K.J. Henry) on 2023-04-29,,,,
138,3-May,,,,,,,Darius Rush
,,Colts,,,,,,
139,4-May,,,,,,,Clayton Tune
,,Broncos,Lions,Cardinals,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#63-Marvin Mims) ? 2023 sixth round pick (#183-J.L. Skinner) to Broncos for ? 2023 third round pick (#68-Hendon Hooker) ? 2023 fifth round pick (#139-Clayton Tune) on 2023-04-28,Traded ? 2023 third round pick (#96-Brodric Martin) to Lions for ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 fifth round pick (#139-Clayton Tune) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-28,,,,
140,5-May,,,,,,,Dorian Thompson-Robinson
,,Rams,Browns,,,,,
,,,,,,,,
,,,Traded ? Troy Hill to Rams for ? 2023 fifth round pick (#140-Dorian Thompson-Robinson) on 2022-04-30,,,,,
141,6-May,,,,,,,Jaquelin Roy
,,Raiders,Colts,Vikings,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#35-Michael Mayer) to Raiders for ? 2023 second round pick (#38-Matthew Bergeron) ? 2023 fifth round pick (#141-Jaquelin Roy) on 2023-04-28,Traded ? 2023 fifth round pick (#158-Daniel Scott) ? 2023 sixth round pick (#211-Titus Leo) to Colts for ? 2023 fifth round pick (#141-Jaquelin Roy) on 2023-04-29,,,,
142,7-May,,,,,,,Cameron Mitchell
,,Browns,,,,,,
143,8-May,,,,,,,Israel Abanikanda
,,Jets,,,,,,
144,9-May,,,,,,,Atonio Mafi
,,Falcons,Raiders,Patriots,,,,
,,,,,,,,
,,,Traded ? Bryan Edwards ? 2023 conditional seventh round pick (#224-DeMarcco Hellams) to Falcons for ? 2023 fifth round pick (#144-Atonio Mafi) on 2022-05-13,Traded ? 2023 fourth round pick (#135-Aidan O'Connell) to Raiders for ? 2023 fifth round pick (#144-Atonio Mafi) ? 2023 sixth round pick (#214-Ameer Speed) on 2023-04-29,,,,
145,10-May,,,,,,,Jammie Robinson
,,Panthers,,,,,,
146,11-May,,,,,,,Jordan Howden
,,Saints,,,,,,
147,12-May,,,,,,,Josh Whyle
,,Titans,,,,,,
148,13-May,,,,,,,Noah Sewell
,,Patriots,Ravens,Bears,,,,
,,,,,,,,
,,,Traded ? Shaun Wade to Patriots for ? 2022 seventh round pick (#224-Cameron Goode) ? 2023 fifth round pick (#148-Noah Sewell) on 2021-08-26,Traded ? Roquan Smith to Ravens for ? A.J. Klein ? 2023 second round pick (#53-Gervon Dexter) ? 2023 fifth round pick (#148-Noah Sewell) on 2022-11-01,,,,
149,14-May,,,,,,,Sean Clifford
,,Packers,,,,,,
150,15-May,,,,,,,Justin Shorter
,,Commanders,Bills,,,,,
,,,,,,,,
,,,Traded ? 2023 fifth round pick (#137-K.J. Henry) to Commanders for ? 2023 fifth round pick (#150-Justin Shorter) ? 2023 sixth round pick (#215-Zach Evans) on 2023-04-29,,,,,
151,16-May,,,,,,,Mike Morris
,,Steelers,Seahawks,,,,,
,,,,,,,,
,,,Traded ? Ahkello Witherspoon to Steelers for ? 2023 fifth round pick (#151-Mike Morris) on 2021-09-03,,,,,
152,17-May,,,,,,,Colby Sorsdal
,,Lions,,,,,,
153,18-May,,,,,,,SirVocea Dennis
,,Buccaneers,,,,,,
154,19-May,,,,,,,Olusegun Oluwatimi
,,Seahawks,,,,,,
155,20-May,,,,,,,Darrell Luter Jr.
,,Dolphins,49ers,,,,,
,,,,,,,,
,,,Traded ? Jeff Wilson Jr. to Dolphins for ? 2023 fifth round pick (#155-Darrell Luter Jr.) on 2022-11-01,,,,,
156,21-May,,,,,,,Jordan McFadden
,,Chargers,,,,,,
157,22-May,,,,,,,Kyu Blu Kelly
,,Ravens,,,,,,
158,23-May,,,,,,,Daniel Scott
,,Vikings,Colts,,,,,
,,,,,,,,
,,,Traded ? 2023 fifth round pick (#141-Jaquelin Roy) to Vikings for ? 2023 fifth round pick (#158-Daniel Scott) ? 2023 sixth round pick (#211-Titus Leo) on 2023-04-29,,,,,
159,24-May,,,,,,,Dontayvion Wicks
,,Jaguars,Falcons,Lions,Packers,,,
,,,,,,,,
,,,"Traded ? Calvin Ridley to Jaguars for ? 2023 conditional round pick (fifth round if Ridley is reinstated from suspension by an unspecified date, else sixth round) (#159-Dontayvion Wicks) ? 2024 conditional round pick (second round if Ridley signs a contract extension with Jaguars, third round if Ridley plays in 60% of Jaguars offensive snaps and/or has 75 receptions or 1,000 receiving yards in 2023, fourth round if Ridley is reinstated from suspension by an unspecified date and makes Jaguars roster) (#79-Matt Goncalves) on 2022-11-01",Traded ? Jeff Okudah to Falcons for ? 2023 fifth round pick (#159-Dontayvion Wicks) on 2023-04-13,Traded ? 2023 second round pick (#45-Brian Branch) to Lions for ? 2023 second round pick (#48-Cody Mauch) ? 2023 fifth round pick (#159-Dontayvion Wicks) on 2023-04-28,,,
160,25-May,,,,,,,Antonio Johnson
,,Giants,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2023 first round pick (#24-Deonte Banks) to Giants for ? 2023 first round pick (#25-Dalton Kincaid) ? 2023 fifth round pick (#160-Antonio Johnson) ? 2023 seventh round pick (#240-Derek Parish) on 2023-04-27,,,,,
161,26-May,,,,,,,Nick Hampton
,,Cowboys,Texans,Rams,,,,
,,,,,,,,
,,,Traded ? Brandin Cooks to Cowboys for ? 2023 fifth round pick (#161-Nick Hampton) ? 2024 sixth round pick (#200-Jaden Crumedy) on 2023-03-19,"Traded ? 2023 third round pick (#69-Nathaniel ""Tank"" Dell) to Texans for ? 2023 third round pick (#73-Jalin Hyatt) ? 2023 fifth round pick (#161-Nick Hampton) on 2023-04-28",,,,
162,27-May,,,,,,,Will Mallory
,,Bills,Colts,,,,,
,,,,,,,,
,,,"Traded ? Nyheim Hines to Bills for ? Zack Moss ? 2023 conditional round pick (fifth round if unknown conditions are met, else sixth round) (#162-Will Mallory) on 2022-11-01",,,,,
163,28-May,,,,,,,Chase Brown
,,Bengals,,,,,,
164,29-May,,,,,,,Jaren Hall
,,49ers,Vikings,,,,,
,,,,,,,,
,,,Traded ? 2023 third round pick (#87-Ji'Ayir Brown) to 49ers for ? 2023 third round pick (#102-Mekhi Blackmon) ? 2023 fifth round pick (#164-Jaren Hall) ? 2023 seventh round pick (#222-DeWayne McBride) on 2023-04-28,,,,,
165,30-May,,,,,,,Terell Smith
,,Eagles,Saints,Bears,,,,
,,,,,,,,
,,,"Traded ? Chauncey Gardner-Johnson ? 2025 seventh round pick (#223-Damien Martinez) to Eagles for ? 2023 fifth round pick (#165-Terell Smith) ? 2024 sixth round pick (less favorable of Eagles, Titans picks) (#199-Khristian Boyd) on 2022-08-30",Traded ? 2023 fourth round pick (#103-Nick Saldiveri) to Saints for ? 2023 fourth round pick (#115-Roschon Johnson) ? 2023 fifth round pick (#165-Terell Smith) on 2023-04-29,,,,
166,31-May,,,,,,,B.J. Thompson
,,Chiefs,,,,,,
167,May-32,,,,,,,Henry To'oTo'o
,,NFL,Rams,Texans,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Corbett ? Sebastian Joseph ? Von Miller ? Ogbonnia Okoronkwo ? Darious Williams,Traded ? 2023 fifth round pick (#174-Warren McClendon) ? 2023 seventh round pick (#259-Desjuan Johnson) to Rams for ? 2023 fifth round pick (#167-Henry To'oTo'o) on 2023-04-29,,,,
168,May-33,,,,,,,Owen Pappoe
,,NFL,Cardinals,Lions,Cardinals,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Chase Edmonds ? Chandler Jones ? Christian Kirk,Traded ? 2023 first round pick (#6-Paris Johnson Jr.) ? 2023 third round pick (#81-Tyjae Spears) to Cardinals for ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 second round pick (#34-Sam LaPorta) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-27,Traded ? 2023 third round pick (#96-Brodric Martin) to Lions for ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 fifth round pick (#139-Clayton Tune) ? 2023 fifth round pick (#168-Owen Pappoe) on 2023-04-28,,,
169,May-34,,,,,,,Asim Richards
,,NFL,Cowboys,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Randy Gregory ? Connor Williams ? Cedrick Wilson,,,,,
170,May-35,,,,,,,Chris Smith II
,,NFL,Packers,Jets,Raiders,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Lucas Patrick ? Chandon Sullivan ? Marquez Valdes-Scantling,"Traded ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) to Packers for ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) on 2023-04-26",Traded ? 2023 sixth round pick (#204-Jarrick Bernard-Converse) ? 2023 seventh round pick (#220-Zack Kuntz) to Jets for ? 2023 fifth round pick (#170-Chris Smith II) on 2023-04-29,,,
171,May-36,,,,,,,Payne Durham
,,NFL,Rams,Buccaneers,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Corbett ? Sebastian Joseph ? Von Miller ? Ogbonnia Okoronkwo ? Darious Williams,Traded ? 2023 fifth round pick (#175-Davis Allen) ? 2023 seventh round pick (#252-Alex Austin) to Rams for ? 2023 fifth round pick (#171-Payne Durham) on 2023-04-29,,,,
172,May-37,,,,,,,Eric Gray
,,NFL,Giants,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Lorenzo Carter ? Keion Crossen ? Evan Engram ? Austin Johnson,,,,,
173,May-38,,,,,,,Robert Beal Jr.
,,NFL,49ers,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? D.J. Jones ? Arden Key ? Raheem Mostert ? Laken Tomlinson ? K'Waun Williams,,,,,
174,May-39,,,,,,,Warren McClendon
,,NFL,Raiders,Texans,Rams,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Brandon Facyson ? Casey Hayward ? Quinton Jefferson ? Zay Jones ? Marcus Mariota ? Nicholas Morrow,Traded ? 2023 fourth round pick (#104-Jakorian Bennett) ? 2023 sixth round pick (#203-Amari Burney) to Raiders for ? 2023 fourth round pick (#109-Dylan Horton) ? 2023 fifth round pick (#174-Warren McClendon) on 2023-04-29,Traded ? 2023 fifth round pick (#167-Henry To'oTo'o) to Texans for ? 2023 fifth round pick (#174-Warren McClendon) ? 2023 seventh round pick (#259-Desjuan Johnson) on 2023-04-29,,,
175,May-40,,,,,,,Davis Allen
,,NFL,Buccaneers,Rams,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Alex Cappa ? O.J. Howard ? Jordan Whitehead,Traded ? 2023 fifth round pick (#171-Payne Durham) to Buccaneers for ? 2023 fifth round pick (#175-Davis Allen) ? 2023 seventh round pick (#252-Alex Austin) on 2023-04-29,,,,
176,May-41,,,,,,,Evan Hull
,,NFL,Cowboys,Colts,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Randy Gregory ? Connor Williams ? Cedrick Wilson,Traded ? Stephon Gilmore to Cowboys for ? 2023 fifth round pick (#176-Evan Hull) on 2023-03-15,,,,
177,May-42,,,,,,,Puka Nacua
,,NFL,Rams,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Corbett ? Sebastian Joseph ? Von Miller ? Ogbonnia Okoronkwo ? Darious Williams,,,,,
Round 6,,,,,,,,
178,1-Jun,,,,,,,Eric Scott Jr.
,,Bears,Dolphins,Chiefs,Cowboys,,,
,,,,,,,,
,,,Traded ? Jakeem Grant to Bears for ? 2023 sixth round pick (#178-Eric Scott Jr.) on 2021-10-05,Traded ? Tyreek Hill to Dolphins for ? 2022 first round pick (#29-Cole Strange) ? 2022 second round pick (#50-Tyquan Thornton) ? 2022 fourth round pick (#121-Jack Jones (b. 1997-12-20)) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 sixth round pick (#178-Eric Scott Jr.) on 2022-03-24,Traded ? 2024 fifth round pick (#159-Hunter Nourzad) to Chiefs for ? 2023 sixth round pick (#178-Eric Scott Jr.) on 2023-04-29,,,
179,2-Jun,,,,,,,Karl Brooks
,,Texans,Buccaneers,Packers,,,,
,,,,,,,,
,,,Traded ? Shaq Mason ? 2023 seventh round pick (#230-Nick Broeker) to Texans for ? 2023 sixth round pick (#179-Karl Brooks) on 2023-03-15,Traded ? 2023 second round pick (#48-Cody Mauch) to Buccaneers for ? 2023 second round pick (#50-Jayden Reed) ? 2023 sixth round pick (#179-Karl Brooks) on 2023-04-28,,,,
180,3-Jun,,,,,,,Kei'Trel Clark
,,Cardinals,,,,,,
181,4-Jun,,,,,,,Josh Hayes
,,Colts,Buccaneers,,,,,
,,,,,,,,
,,,Traded ? Grant Stuard ? 2023 seventh round pick (#236-Jake Witt) to Colts for ? 2023 sixth round pick (#181-Josh Hayes) on 2022-08-30,,,,,
182,5-Jun,,,,,,,Tre'Vius Hodges-Tomlinson
,,Rams,,,,,,
183,6-Jun,,,,,,,J.L. Skinner
,,Broncos,Lions,Broncos,,,,
,,,,,,,,
,,,Traded ? 2022 fifth round pick (#145-Darian Kinnard) ? 2022 seventh round pick (#234-Jonathan Ford) to Broncos for ? Trinity Benson ? 2023 sixth round pick (#183-J.L. Skinner) on 2021-08-31,Traded ? 2023 third round pick (#68-Hendon Hooker) ? 2023 fifth round pick (#139-Clayton Tune) to Lions for ? 2023 second round pick (#63-Marvin Mims) ? 2023 sixth round pick (#183-J.L. Skinner) on 2023-04-28,,,,
184,7-Jun,,,,,,,Zaire Barnes
,,Raiders,Patriots,Jets,,,,
,,,,,,,,
,,,Traded ? Jarrett Stidham ? 2023 seventh round pick (#231-Nesta Jade Silvera) to Raiders for ? 2023 sixth round pick (#184-Zaire Barnes) on 2022-05-13,Traded ? 2023 fourth round pick (#112-Chad Ryland) to Patriots for ? 2023 fourth round pick (#120-Carter Warren) ? 2023 sixth round pick (#184-Zaire Barnes) on 2023-04-29,,,,
185,8-Jun,,,,,,,Parker Washington
,,Jets,Jaguars,,,,,
,,,,,,,,
,,,"Traded ? James Robinson to Jets for ? 2023 conditional round pick (fifth round if Robinson rushes for 600 yards in 2022, else sixth round) (#185-Parker Washington) on 2022-10-25",,,,,
186,9-Jun,,,,,,,Jaelyn Duncan
,,Falcons,Titans,,,,,
,,,,,,,,
,,,"Traded ? 2022 second round pick (#58-Troy Andersen) ? 2023 conditional fourth round pick (Titans compensatory pick if they are awarded one, else Titans original pick) (#110-Adetomiwa Adebawore) to Falcons for ? Julio Jones ? 2023 sixth round pick (#186-Jaelyn Duncan) on 2021-06-09",,,,,
187,10-Jun,,,,,,,Kayshon Boutte
,,Panthers,Patriots,,,,,
,,,,,,,,
,,,Traded ? Stephon Gilmore to Panthers for ? 2023 sixth round pick (#187-Kayshon Boutte) on 2021-10-06,,,,,
188,11-Jun,,,,,,,Tanner McKee
,,Saints,Texans,Eagles,,,,
,,,,,,,,
,,,Traded ? Bradley Roby to Saints for ? 2022 third round pick (#80-Greg Dulcich) ? 2023 conditional sixth round pick (#188-Tanner McKee) on 2021-09-09,Traded ? 2023 second round pick (#62-Juice Scruggs) to Texans for ? 2023 third round pick (#65-Tyler Steen) ? 2023 sixth round pick (#188-Tanner McKee) ? 2023 seventh round pick (#230-Nick Broeker) on 2023-04-28,,,,
,,,,,,,,
,,,Conditions on pick are unknown.,,,,,
189,12-Jun,,,,,,,Ochaun Mathis
,,Titans,Rams,,,,,
,,,,,,,,
,,,Traded ? Robert Woods to Titans for ? 2023 sixth round pick (#189-Ochaun Mathis) on 2022-03-23,,,,,
