Overall #,Round #,Team,Transactions,,,,Player Drafted
,,,Traded ? 2024 sixth round pick (#179-Ollie Gordon II) ? 2026 third round pickÿ(?-?)ÿto Dolphins for ? 2025 fourth round pick (#116-Woody Marks) ? 2025 seventh round pick (#224-Kyonte Hamilton) on 2025-04-26,,,,
117,15-Apr,,,,,,Jarquez Hunter
,,Colts,Rams,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#127-Jalen Travis) ? 2025 sixth round pick (#190-Tim Smith) to Colts for ? 2025 fourth round pick (#117-Jarquez Hunter) on 2025-04-26,,,,
118,16-Apr,,,,,,Billy Bowman Jr.
,,Falcons,,,,,
119,17-Apr,,,,,,Barrett Carter
,,Bengals,,,,,
120,18-Apr,,,,,,Gunnar Helm
,,Seahawks,Titans,,,,
,,,,,,,
,,,Traded ? Ernest Jones to Seahawks for ? Jerome Baker ? 2025 fourth round pick (#120-Gunnar Helm) on 2024-10-24,,,,
121,19-Apr,,,,,,David Walker
,,Buccaneers,,,,,
122,20-Apr,,,,,,Lathan Ransom
,,Broncos,Panthers,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) to Broncos for ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) on 2025-04-25,,,,
123,21-Apr,,,,,,Jack Sawyer
,,Steelers,,,,,
124,22-Apr,,,,,,Barryn Sorrell
,,Packers,,,,,
125,23-Apr,,,,,,Kyle Kennard
,,Chargers,,,,,
126,24-Apr,,,,,,Dylan Sampson
,,Vikings,Jaguars,Browns,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#17-Dallas Turner) to Vikings for ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 fifth round pick (#167-Keilan Robinson) ? 2025 third round pick (#88-Caleb Ransaw) ? 2025 fourth round pick (#126-Dylan Sampson) on 2024-04-25,Traded ? 2025 first round pick (#2-Travis Hunter) ? 2025 fourth round pick (#104-Bhayshul Tuten) ? 2025 sixth round pick (#200-Rayuan Lane III) to Jaguars for ? 2025 first round pick (#5-Mason Graham) ? 2025 second round pick (#36-Quinshon Judkins) ? 2025 fourth round pick (#126-Dylan Sampson) ? 2026 first round pickÿ(?-?)ÿon 2025-04-24,,,
127,25-Apr,,,,,,Jalen Travis
,,Rams,Colts,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#117-Jarquez Hunter) to Rams for ? 2025 fourth round pick (#127-Jalen Travis) ? 2025 sixth round pick (#190-Tim Smith) on 2025-04-26,,,,
128,26-Apr,,,,,,Jaylin Lane
,,Texans,Commanders,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (Dolphins pick) (#79-Jaylin Noel) ? 2025 seventh round pick (Broncos pick) (#236-LeQuint Allen) ? 2026 second round pickÿ(?-?)ÿ? 2026 fourth round pickÿ(?-?)ÿto Texans for ? Laremy Tunsil ? 2025 fourth round pick (#128-Jaylin Lane) on 2025-03-15,,,,
129,27-Apr,,,,,,Teddye Buchanan
,,Ravens,,,,,
130,28-Apr,,,,,,Malachi Moore
,,Lions,Broncos,Eagles,Jets,,
,,,,,,,
,,,Traded ? 2025 second round pick (Rams pick) (#57-Tate Ratledge) ? 2025 seventh round pick (#230-Dan Jackson) to Lions for ? 2025 second round pick (#60-R.J. Harvey) ? 2025 fourth round pick (#130-Malachi Moore) on 2025-04-25,Traded ? 2025 third round pick (Rams pick) (#101-Sai'vion Jones) ? 2025 fourth round pick (#134-Que Robinson) to Broncos for ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 fourth round pick (#130-Malachi Moore) ? 2025 sixth round pick (#191-Myles Hinton) on 2025-04-25,Traded ? 2025 fifth round pick (#145-Mac McWilliams) ? 2025 sixth round pick (#207-Cameron Williams) to Eagles for ? 2025 fourth round pick (#130-Malachi Moore) on 2025-04-26,,
131,29-Apr,,,,,,Quincy Riley
,,Commanders,Saints,,,,
,,,,,,,
,,,Traded ? Marshon Lattimore ? 2025 fifth round pick (#147-Jordan James) to Commanders for ? 2025 third round pick (#93-Jonas Sanker) ? 2025 fourth round pick (#131-Quincy Riley) ? 2025 sixth round pick (Saints pick) (#184-Devin Neal) on 2024-11-05,,,,
132,30-Apr,,,,,,Ruben Hyppolite II
,,Bills,Bears,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#109-Deone Walker) to Bills for ? 2025 fourth round pick (#132-Ruben Hyppolite II) ? 2025 fifth round pick (#169-Zah Frazier) on 2025-04-26,,,,
133,Apr-31,,,,,,Jalen Royals
,,Chiefs,,,,,
134,Apr-32,,,,,,Que Robinson
,,Eagles,Lions,Eagles,Broncos,,
,,,,,,,
,,,Traded ? D'Andre Swift ? 2023 seventh round pick (#249-Moro Ojomo) to Eagles for ? 2023 seventh round pick (#219-Antoine Green) ? 2025 fourth round pick (#134-Que Robinson) on 2023-04-29,Traded ? 2024 fourth round pick (#132-Sione Vaki) ? 2024 sixth round pick (#210-Christian Mahogany) to Lions for ? 2024 fifth round pick (#164-Jaylin Simpson) ? 2024 sixth round pick (#201-Micah Abraham) ? 2025 fourth round pick (Eagles pick) (#134-Que Robinson) on 2024-04-27,Traded ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 fourth round pick (#130-Malachi Moore) ? 2025 sixth round pick (#191-Myles Hinton) to Eagles for ? 2025 third round pick (Rams pick) (#101-Sai'vion Jones) ? 2025 fourth round pick (#134-Que Robinson) on 2025-04-25,,
135,Apr-33,,,,,,Tonka Hemingway
,,NFL,Dolphins,Raiders,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Raekwon Davis, DeShon Elliott, Robert Hunt, Brandon Jones, Andrew Van Ginkel, Christian Wilkins",Traded ? 2025 second round pick (#37-Jonah Savaiinaea) ? 2025 fifth round pick (#143-Jordan Phillips) to Dolphins for ? 2025 second round pick (#48-Aireontae Ersery) ? 2025 third round pick (#98-Caleb Rogers) ? 2025 fourth round pick (#135-Tonka Hemingway) on 2025-04-25,,,
136,Apr-34,,,,,,Elic Ayomanor
,,NFL,Ravens,Titans,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jadeveon Clowney, Ronald Darby, Devin Duvernay, Gus Edwards, Patrick Queen, John Simpson, Geno Stone, Kevin Zeitler",Traded ? 2025 fifth round pick (#141-Carson Vinson) ? 2025 sixth round pick (#178-Bilhal Kone) to Ravens for ? 2025 fourth round pick (#136-Elic Ayomanor) ? 2025 sixth round pick (#183-Marcus Harris) on 2025-04-26,,,
137,Apr-35,,,,,,Joshua Farmer
,,NFL,Seahawks,Patriots,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jordyn Brooks, Evan Brown, Damien Lewis, Drew Lock, Colby Parkinson, Bobby Wagner",Traded ? 2025 fifth round pick (#144-Shedeur Sanders) ? 2025 seventh round pick (#238-Ricky White III) to Seahawks for ? 2025 fourth round pick (#137-Joshua Farmer) on 2025-04-26,,,
138,Apr-36,,,,,,Jordan Watkins
,,NFL,49ers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Sam Darnold, Clelin Ferrell, Sebastian Joseph-Day, Javon Kinlaw, Ray-Ray McCloud, Charlie Woerner, Chase Young",,,,
Round 5,,,,,,,
139,1-May,,,,,,Tyrion Ingram-Dawkins
,,Browns,Vikings,,,,
,,,,,,,
,,,Traded ? Za'Darius Smith ? 2025 sixth round pick (#200-Rayuan Lane III) ? 2025 seventh round pick (#240-Kaden Prather) to Browns for ? 2024 fifth round pick (#157-Chau Smith-Wade) ? 2025 fifth round pick (#139-Tyrion Ingram-Dawkins) on 2023-05-16,,,,
140,2-May,,,,,,Cam Jackson
,,Giants,Panthers,,,,
,,,,,,,
,,,Traded ? Brian Burns ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) to Giants for ? 2024 second round pick (#39-Braden Fiske) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) ? 2025 fifth round pick (#140-Cam Jackson) on 2024-03-13,,,,
141,3-May,,,,,,Carson Vinson
,,Titans,Ravens,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#136-Elic Ayomanor) ? 2025 sixth round pick (#183-Marcus Harris) to Titans for ? 2025 fifth round pick (#141-Carson Vinson) ? 2025 sixth round pick (#178-Bilhal Kone) on 2025-04-26,,,,
142,4-May,,,,,,Rylie Mills
,,Jaguars,Texans,Vikings,Seahawks,,
,,,,,,,
,,,Traded ? 2025 third round pick (#89-Wyatt Milum) ? 2025 seventh round pick (#236-LeQuint Allen) to Jaguars for ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) on 2025-04-25,Traded ? 2025 third round pick (#97-Jaylin Smith) ? 2025 sixth round pick (#187-Jaylen Reed) to Texans for ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) on 2025-04-25,Traded ? Sam Howell ? 2025 fifth round pick (#172-Chris Paul Jr.) to Vikings for ? 2025 fifth round pick (#142-Rylie Mills) on 2025-04-26,,
143,5-May,,,,,,Jordan Phillips
,,Raiders,Dolphins,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#48-Aireontae Ersery) ? 2025 third round pick (#98-Caleb Rogers) ? 2025 fourth round pick (#135-Tonka Hemingway) to Raiders for ? 2025 second round pick (#37-Jonah Savaiinaea) ? 2025 fifth round pick (#143-Jordan Phillips) on 2025-04-25,,,,
144,6-May,,,,,,Shedeur Sanders
,,Patriots,Seahawks,Browns,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#137-Joshua Farmer) to Patriots for ? 2025 fifth round pick (#144-Shedeur Sanders) ? 2025 seventh round pick (#238-Ricky White III) on 2025-04-26,Traded ? 2025 fifth round pick (#166-Tory Horton) ? 2025 sixth round pick (#192-Bryce Cabeldue) to Seahawks for ? 2025 fifth round pick (#144-Shedeur Sanders) on 2025-04-26,,,
145,7-May,,,,,,Mac McWilliams
,,Jets,Eagles,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#130-Malachi Moore) to Jets for ? 2025 fifth round pick (#145-Mac McWilliams) ? 2025 sixth round pick (#207-Cameron Williams) on 2025-04-26,,,,
146,8-May,,,,,,Bradyn Swinson
,,Panthers,Patriots,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#77-Princely Umanmielen) to Panthers for ? 2025 third round pick (#85-Nohl Williams) ? 2025 fifth round pick (#146-Bradyn Swinson) on 2025-04-25,,,,
147,9-May,,,,,,Jordan James
,,Saints,Commanders,49ers,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#93-Jonas Sanker) ? 2025 fourth round pick (#131-Quincy Riley) ? 2025 sixth round pick (Saints pick) (#184-Devin Neal) to Saints for ? Marshon Lattimore ? 2025 fifth round pick (#147-Jordan James) on 2024-11-05,Traded ? Deebo Samuel to Commanders for ? 2025 fifth round pick (Saints pick) (#147-Jordan James) on 2025-03-12,,,
148,10-May,,,,,,Ty Hamilton
,,Bears,Rams,,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#195-Luke Newman) ? 2026 fourth round pickÿ(?-?)ÿto Bears for ? 2025 fifth round pick (#148-Ty Hamilton) on 2025-04-26,,,,
,,,"49ers had 2024 fourth round pick moved down 4 spots behind compensatory picks, forfeited 2025 fifth round pick due due to an administrative payroll accounting error",,,,
,,49ers,,,,,
149,11-May,,,,,,Jaydon Blue
,,Cowboys,,,,,
150,12-May,,,,,,Jason Marshall Jr.
,,Dolphins,,,,,
151,13-May,,,,,,D.J. Giddens
,,Colts,,,,,
,,,Falcons forfeited 2025 fifth round pick and fined $250K for violating the league's anti-tampering policy in the signing of three free agents,,,,
,,Falcons,,,,,
152,14-May,,,,,,Shemar James
,,Cardinals,Cowboys,,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#174-Denzel Burke) ? 2025 sixth round pick (#211-Hayden Conner) to Cardinals for ? 2025 fifth round pick (#152-Shemar James) on 2025-04-26,,,,
153,15-May,,,,,,Jalen Rivers
,,Bengals,,,,,
154,16-May,,,,,,Marcus Mbow
,,Seahawks,Giants,,,,
,,,,,,,
,,,Traded ? Leonard Williams (Austin) to Seahawks for ? 2024 second round pick (#47-Tyler Nubin) ? 2025 fifth round pick (#154-Marcus Mbow) on 2023-10-31,,,,
155,17-May,,,,,,Dante Trader Jr.
,,Broncos,Dolphins,,,,
,,,,,,,
,,,Traded ? Chase Edmonds ? 2023 first round pick (#29-Bryan Bresee) ? 2024 fourth round pick (#121-A.J. Barner) to Broncos for ? Bradley Chubb ? 2025 fifth round pick (#155-Dante Trader Jr.) on 2022-11-01,,,,
156,18-May,,,,,,Jeffrey Bassa
,,Steelers,Chiefs,,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#164-Yahya Black) ? 2025 seventh round pick (#226-Carson Bruener) to Steelers for ? 2025 fifth round pick (#156-Jeffrey Bassa) on 2025-04-26,,,,
157,19-May,,,,,,Elijah Roberts
,,Buccaneers,,,,,
158,20-May,,,,,,KeAndre Lambert-Smith
,,Chargers,,,,,
159,21-May,,,,,,Collin Oliver
,,Packers,,,,,
160,22-May,,,,,,Marques Sigle
,,Vikings,49ers,,,,
,,,,,,,
,,,Traded ? Jordan Mason ? 2025 sixth round pick (#187-Jaylen Reed) to Vikings for ? 2025 fifth round pick (#160-Marques Sigle) ? 2026 sixth round pickÿ(?-?)ÿon 2025-03-18,,,,
161,23-May,,,,,,Smael Mondon Jr.
,,Texans,Eagles,,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#123-Cade Stover) to Texans for ? 2024 fourth round pick (#127-Will Shipley) ? 2025 fifth round pick (#161-Smael Mondon Jr.) on 2024-04-27,,,,
162,24-May,,,,,,Francisco Mauigoa
,,Rams,Steelers,Jets,,,
,,,,,,,
,,,Traded ? Kevin Dotson ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 sixth round pick (#195-Luke Newman) to Rams for ? 2024 fourth round pick (#120-Jaylen Wright) ? 2025 fifth round pick (#162-Francisco Mauigoa) on 2023-08-28,Traded ? Mike Williams to Steelers for ? 2025 fifth round pick (Rams pick) (#162-Francisco Mauigoa) on 2024-11-05,,,
163,25-May,,,,,,Mitchell Evans
,,Ravens,Panthers,,,,
,,,,,,,
,,,Traded ? Diontae Johnson ? 2025 sixth round pick (#183-Marcus Harris) to Ravens for ? 2025 fifth round pick (#163-Mitchell Evans) on 2024-10-30,,,,
164,26-May,,,,,,Yahya Black
,,Lions,Browns,Eagles,Chiefs,Steelers,
,,,,,,,
,,,Traded ? Za'Darius Smith ? 2026 seventh round pickÿ(?-?)ÿto Lions for ? 2025 fifth round pick (#164-Yahya Black) ? 2026 sixth round pickÿ(?-?)ÿon 2024-11-05,Traded ? Kenny Pickett to Browns for ? Dorian Thompson-Robinson ? 2025 fifth round pick (Lions pick) (#164-Yahya Black) on 2025-03-12,Traded ? 2025 first round pick (#31-Jihaad Campbell) to Eagles for ? 2025 first round pick (#32-Josh Simmons) ? 2025 fifth round pick (#164-Yahya Black) on 2025-04-24,Traded ? 2025 fifth round pick (#156-Jeffrey Bassa) to Chiefs for ? 2025 fifth round pick (#164-Yahya Black) ? 2025 seventh round pick (#226-Carson Bruener) on 2025-04-26,
165,27-May,,,,,,Oronde Gadsden II
,,Commanders,Eagles,Chargers,,,
,,,,,,,
,,,"Traded ? 2025 third round pick (more favorable of Dolphins, Eagles picks) (#79-Jaylin Noel) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#236-LeQuint Allen) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#248-Moliki Matavao) to Commanders for ? Jahan Dotson ? 2025 fifth round pick (#165-Oronde Gadsden II) on 2024-08-22",Traded ? 2025 sixth round pick (#181-Kyle McCord) ? 2025 sixth round pick (#209-Antwaun Powell-Ryland) to Eagles for ? 2025 fifth round pick (#165-Oronde Gadsden II) on 2025-04-26,,,
166,28-May,,,,,,Tory Horton
,,Bills,Texans,Browns,Seahawks,,
,,,,,,,
,,,Traded ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) to Bills for ? Stefon Diggs ? 2024 fifth round pick (#189-Mekhi Wingo) ? 2025 fifth round pick (#166-Tory Horton) on 2024-04-03,Traded ? 2025 sixth round pick (#179-Ollie Gordon II) ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#255-Luke Lachey) to Texans for ? 2025 fifth round pick (#166-Tory Horton) ? 2027 fifth round pickÿ(?-?)ÿon 2025-04-24,Traded ? 2025 fifth round pick (#144-Shedeur Sanders) to Browns for ? 2025 fifth round pick (#166-Tory Horton) ? 2025 sixth round pick (#192-Bryce Cabeldue) on 2025-04-26,,
167,29-May,,,,,,Jackson Slater
,,Chiefs,Titans,,,,
,,,,,,,
,,,"Traded ? DeAndre Hopkins to Chiefs for ? 2025 conditional round pick (fourth round if Chiefs advance to 2024 Super Bowl and Hopkins plays 60% of regular season offensive snaps, else fifth round) (#167-Jackson Slater) on 2024-10-24",,,,
168,30-May,,,,,,Drew Kendall
,,Eagles,,,,,
169,31-May,,,,,,Zah Frazier
,,NFL,Bills,Bears,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Gabe Davis, Tyrel Dodson, Leonard Floyd, Dane Jackson, Tim Settle",Traded ? 2025 fourth round pick (#109-Deone Walker) to Bills for ? 2025 fourth round pick (#132-Ruben Hyppolite II) ? 2025 fifth round pick (#169-Zah Frazier) on 2025-04-26,,,
170,May-32,,,,,,Jordan Hancock
,,NFL,Cowboys,Bills,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Dorance Armstrong, Tyler Biadasz, Dante Fowler, Tony Pollard, Tyron Smith",Traded ? Kaiir Elam ? 2025 sixth round pick (Lions pick) (#204-Ajani Cornelius) to Cowboys for ? 2025 fifth round pick (#170-Jordan Hancock) ? 2026 seventh round pickÿ(?-?)ÿon 2025-03-12,,,
171,May-33,,,,,,Miles Frazier
,,NFL,Cowboys,Patriots,Lions,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Dorance Armstrong, Tyler Biadasz, Dante Fowler, Tony Pollard, Tyron Smith",Traded ? Joe Milton III ? 2025 seventh round pick (Titans pick) (#217-Jay Toia) to Cowboys for ? 2025 fifth round pick (#171-Miles Frazier) on 2025-04-03,Traded ? 2025 sixth round pick (#182-Andres Borregales) ? 2025 seventh round pick (#228-Brashard Smith) to Patriots for ? 2025 fifth round pick (#171-Miles Frazier) on 2025-04-26,,
172,May-34,,,,,,Chris Paul Jr.
,,NFL,Seahawks,Vikings,Rams,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jordyn Brooks, Evan Brown, Damien Lewis, Drew Lock, Colby Parkinson, Bobby Wagner",Traded ? 2025 fifth round pick (#142-Rylie Mills) to Seahawks for ? Sam Howell ? 2025 fifth round pick (#172-Chris Paul Jr.) on 2025-04-26,Traded ? 2025 sixth round pick (#201-Kobe King) ? 2025 sixth round pick (#202-Gavin Bartholomew) to Vikings for ? 2025 fifth round pick (#172-Chris Paul Jr.) on 2025-04-26,,
173,May-35,,,,,,Jackson Hawes
,,NFL,Bills,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Gabe Davis, Tyrel Dodson, Leonard Floyd, Dane Jackson, Tim Settle",,,,
174,May-36,,,,,,Denzel Burke
,,NFL,Cowboys,Cardinals,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Dorance Armstrong, Tyler Biadasz, Dante Fowler, Tony Pollard, Tyron Smith",Traded ? 2025 fifth round pick (#152-Shemar James) to Cowboys for ? 2025 fifth round pick (#174-Denzel Burke) ? 2025 sixth round pick (#211-Hayden Conner) on 2025-04-26,,,
175,May-37,,,,,,Robbie Ouzts
,,NFL,Seahawks,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jordyn Brooks, Evan Brown, Damien Lewis, Drew Lock, Colby Parkinson, Bobby Wagner",,,,
176,May-38,,,,,,Tyler Baron
,,NFL,Ravens,Jets,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jadeveon Clowney, Ronald Darby, Devin Duvernay, Gus Edwards, Patrick Queen, John Simpson, Geno Stone, Kevin Zeitler",Traded ? 2025 sixth round pick (#186-Tyler Loop) ? 2026 fifth round pickÿ(?-?)ÿto Ravens for ? 2025 fifth round pick (#176-Tyler Baron) ? 2026 sixth round pickÿ(?-?)ÿon 2025-04-26,,,
Round 6,,,,,,,
177,1-Jun,,,,,,Dorian Strong
,,Giants,Bills,,,,
,,,,,,,
,,,"Traded ? Carlos ""Boogie"" Basham ? 2025 seventh round pick (#246-Korie Black) to Giants for ? 2025 sixth round pick (#177-Dorian Strong) on 2023-08-29",,,,
178,2-Jun,,,,,,Bilhal Kone
,,Titans,Ravens,,,,
,,,,,,,
,,,Traded ? 2025 fourth round pick (#136-Elic Ayomanor) ? 2025 sixth round pick (#183-Marcus Harris) to Titans for ? 2025 fifth round pick (#141-Carson Vinson) ? 2025 sixth round pick (#178-Bilhal Kone) on 2025-04-26,,,,
179,3-Jun,,,,,,Ollie Gordon II
,,Browns,Texans,Dolphins,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#241-Caleb Lohner) to Broncos for ? 2025 sixth round pick (#197-Graham Mertz) on 2025-04-26,Traded ? 2025 fourth round pick (#116-Woody Marks) ? 2025 seventh round pick (#224-Kyonte Hamilton) to Texans for ? 2024 sixth round pick (#179-Ollie Gordon II) ? 2026 third round pickÿ(?-?)ÿon 2025-04-26,,,
180,4-Jun,,,,,,J.J. Pegues
,,Raiders,,,,,
181,5-Jun,,,,,,Kyle McCord
,,Patriots,Chargers,Eagles,,,
,,,,,,,
,,,Traded ? J.C. Jackson ? 2025 seventh round pick (#238-Ricky White III) to Patriots for ? 2025 sixth round pick (#181-Kyle McCord) on 2023-10-05,Traded ? 2025 fifth round pick (#165-Oronde Gadsden II) to Chargers for ? 2025 sixth round pick (#181-Kyle McCord) ? 2025 sixth round pick (#209-Antwaun Powell-Ryland) on 2025-04-26,,,
182,6-Jun,,,,,,Andres Borregales
,,Jaguars,Lions,Patriots,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#102-Tai Felton) ? 2026 third round pickÿ(?-?)ÿ? 2026 third round pickÿ(?-?)ÿto Jaguars for ? 2025 third round pick (#70-Isaac TeSlaa) ? 2025 sixth round pick (#182-Andres Borregales) ? 2026 sixth round pickÿ(?-?)ÿon 2025-04-25,Traded ? 2025 fifth round pick (#171-Miles Frazier) to Lions for ? 2025 sixth round pick (#182-Andres Borregales) ? 2025 seventh round pick (#228-Brashard Smith) on 2025-04-26,,,
183,7-Jun,,,,,,Marcus Harris
,,Panthers,Ravens,Titans,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#163-Mitchell Evans) to Panthers for ? Diontae Johnson ? 2025 sixth round pick (#183-Marcus Harris) on 2024-10-30,Traded ? 2025 fifth round pick (#141-Carson Vinson) ? 2025 sixth round pick (#178-Bilhal Kone) to Ravens for ? 2025 fourth round pick (#136-Elic Ayomanor) ? 2025 sixth round pick (#183-Marcus Harris) on 2025-04-26,,,
184,8-Jun,,,,,,Devin Neal
,,Saints,Commanders,Saints,,,
,,,,,,,
,,,Traded ? John Ridgeway ? 2025 conditional seventh round pick (Eagles pick) (#248-Moliki Matavao) to Saints for ? 2025 sixth round pick (#184-Devin Neal) on 2024-08-29,Traded ? Marshon Lattimore ? 2025 fifth round pick (#147-Jordan James) to Commanders for ? 2025 third round pick (#93-Jonas Sanker) ? 2025 fourth round pick (#131-Quincy Riley) ? 2025 sixth round pick (Saints pick) (#184-Devin Neal) on 2024-11-05,,,
185,9-Jun,,,,,,Will Howard
,,Bears,Seahawks,Steelers,,,
,,,,,,,
,,,Traded ? Darrell Taylor to Bears for ? 2025 sixth round pick (#185-Will Howard) on 2024-08-23,Traded ? 2025 second round pick (#52-Oluwafemi Oladejo) ? 2025 seventh round pick (Saints pick) (#223-Damien Martinez) to Seahawks for ? D.K. Metcalf ? 2025 sixth round pick (Bears pick) (#185-Will Howard) on 2025-03-13,,,
186,10-Jun,,,,,,Tyler Loop
,,Jets,Ravens,,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#176-Tyler Baron) ? 2026 sixth round pickÿ(?-?)ÿto Jets for ? 2025 sixth round pick (#186-Tyler Loop) ? 2026 fifth round pickÿ(?-?)ÿon 2025-04-26,,,,
187,11-Jun,,,,,,Jaylen Reed
,,49ers,Vikings,Texans,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#160-Marques Sigle) ? 2026 sixth round pickÿ(?-?)ÿto 49ers for ? Jordan Mason ? 2025 sixth round pick (#187-Jaylen Reed) on 2025-03-18,Traded ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) to Vikings for ? 2025 third round pick (#97-Jaylin Smith) ? 2025 sixth round pick (#187-Jaylen Reed) on 2025-04-25,,,
188,12-Jun,,,,,,Kalel Mullings
,,Cowboys,Titans,,,,
,,,,,,,
,,,Traded ? Kenneth Murray Jr. ? 2025 seventh round pick (Packers pick) (#239-Phil Mafah) to Cowboys for ? 2025 sixth round pick (#188-Kalel Mullings) on 2025-03-13,,,,
189,13-Jun,,,,,,Riley Leonard
,,Colts,,,,,
190,14-Jun,,,,,,Tim Smith
,,Falcons,Rams,Colts,,,
,,,,,,,
,,,Traded ? Van Jefferson ? 2025 seventh round pick (#242-Konata Mumpfield) to Falcons for ? 2025 sixth round pick (#190-Tim Smith) on 2023-10-10,Traded ? 2025 fourth round pick (#117-Jarquez Hunter) to Rams for ? 2025 fourth round pick (#127-Jalen Travis) ? 2025 sixth round pick (#190-Tim Smith) on 2025-04-26,,,
191,15-Jun,,,,,,Myles Hinton
,,Cardinals,Broncos,Eagles,,,
,,,,,,,
,,,Traded ? Baron Browning to Cardinals for ? 2025 sixth round pick (#191-Myles Hinton) on 2024-11-04,Traded ? 2025 third round pick (Rams pick) (#101-Sai'vion Jones) ? 2025 fourth round pick (#134-Que Robinson) to Broncos for ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 fourth round pick (#130-Malachi Moore) ? 2025 sixth round pick (#191-Myles Hinton) on 2025-04-25,,,
192,16-Jun,,,,,,Bryce Cabeldue
,,Dolphins,Bears,Browns,Seahawks,,
,,,,,,,
,,,Traded ? Chase Claypool ? 2025 seventh round pick (#224-Kyonte Hamilton) to Dolphins for ? 2025 sixth round pick (#192-Bryce Cabeldue) on 2023-10-06,Traded ? Chris Williams ? 2025 seventh round pick (Vikings pick) (#240-Kaden Prather) to Bears for ? 2025 sixth round pick (Dolphins pick) (#192-Bryce Cabeldue) on 2024-08-24,Traded ? 2025 fifth round pick (#144-Shedeur Sanders) to Browns for ? 2025 fifth round pick (#166-Tory Horton) ? 2025 sixth round pick (#192-Bryce Cabeldue) on 2025-04-26,,
193,17-Jun,,,,,,Tahj Brooks
,,Bengals,,,,,
194,18-Jun,,,,,,Jalen McLeod
,,Seahawks,Jaguars,,,,
,,,,,,,
,,,Traded ? Trevis Gipson to Seahawks for ? 2025 sixth round pick (#194-Jalen McLeod) on 2024-08-26,,,,
195,19-Jun,,,,,,Luke Newman
,,Steelers,Rams,Bears,,,
,,,,,,,
