Overall #,Round #,Team,Transactions,,,,Player Drafted
,,,Traded ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) to Bears for ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) on 2025-04-25,,,,
42,10-Feb,,,,,,Mason Taylor
,,Jets,,,,,
43,11-Feb,,,,,,Alfred Collins
,,49ers,,,,,
44,12-Feb,,,,,,Donovan Ezeiruaku
,,Cowboys,,,,,
45,13-Feb,,,,,,J.T. Tuimoloau
,,Colts,,,,,
46,14-Feb,,,,,,Terrance Ferguson
,,Falcons,Rams,,,,
,,,,,,,
,,,Traded ? 2025 first round pick (#26-James Pearce Jr.) ? 2025 third round pick (#101-Sai'vion Jones) to Falcons for ? 2025 second round pick (#46-Terrance Ferguson) ? 2025 seventh round pick (#242-Konata Mumpfield) ? 2026 first round pickÿ(?-?)ÿon 2025-04-24,,,,
47,15-Feb,,,,,,Will Johnson
,,Cardinals,,,,,
48,16-Feb,,,,,,Aireontae Ersery
,,Dolphins,Raiders,Texans,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#37-Jonah Savaiinaea) ? 2025 fifth round pick (#143-Jordan Phillips) to Dolphins for ? 2025 second round pick (#48-Aireontae Ersery) ? 2025 third round pick (#98-Caleb Rogers) ? 2025 fourth round pick (#135-Tonka Hemingway) on 2025-04-25,Traded ? 2025 second round pick (#58-Jack Bech) ? 2025 third round pick (#99-Charles Grant) to Raiders for ? 2025 second round pick (#48-Aireontae Ersery) on 2025-04-25,,,
49,17-Feb,,,,,,Demetrius Knight Jr.
,,Bengals,,,,,
50,18-Feb,,,,,,Elijah Arroyo
,,Seahawks,,,,,
51,19-Feb,,,,,,Nic Scourton
,,Broncos,Panthers,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) to Broncos for ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) on 2025-04-25,,,,
52,20-Feb,,,,,,Oluwafemi Oladejo
,,Steelers,Seahawks,Titans,,,
,,,,,,,
,,,Traded ? D.K. Metcalf ? 2025 sixth round pick (Bears pick) (#185-Will Howard) to Steelers for ? 2025 second round pick (#52-Oluwafemi Oladejo) ? 2025 seventh round pick (Saints pick) (#223-Damien Martinez) on 2025-03-13,Traded ? 2025 second round pick (#35-Nick Emmanwori) to Seahawks for ? 2025 second round pick (Steelers pick) (#52-Oluwafemi Oladejo) ? 2025 third round pick (#82-Kevin Winston Jr.) on 2025-04-25,,,
53,21-Feb,,,,,,Benjamin Morrison
,,Buccaneers,,,,,
54,22-Feb,,,,,,Anthony Belton
,,Packers,,,,,
55,23-Feb,,,,,,Tre Harris
,,Chargers,,,,,
56,24-Feb,,,,,,Ozzy Trapilo
,,Vikings,Texans,Bills,Bears,,
,,,,,,,
,,,Traded ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 seventh round pick (#232-Levi Drake Rodriguez) to Vikings for ? 2024 second round pick (#42-Kamari Lassiter) ? 2024 sixth round pick (#188-Jamal Hill) ? 2025 second round pick (#56-Ozzy Trapilo) on 2024-03-15,Traded ? Stefon Diggs ? 2024 fifth round pick (#189-Mekhi Wingo) ? 2025 fifth round pick (#166-Tory Horton) to Texans for ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) on 2024-04-03,Traded ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) to Bills for ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) on 2025-04-25,,
57,25-Feb,,,,,,Tate Ratledge
,,Rams,Panthers,Broncos,Lions,,
,,,,,,,
,,,Traded ? 2024 second round pick (#39-Braden Fiske) to Rams for ? 2024 second round pick (#52-Adonai Mitchell) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 second round pick (#57-Tate Ratledge) on 2024-04-26,Traded ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) to Panthers for ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,Traded ? 2025 second round pick (#60-R.J. Harvey) ? 2025 fourth round pick (#130-Malachi Moore) to Broncos for ? 2025 second round pick (Rams pick) (#57-Tate Ratledge) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,,
58,26-Feb,,,,,,Jack Bech
,,Texans,Raiders,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#48-Aireontae Ersery) to Texans for ? 2025 second round pick (#58-Jack Bech) ? 2025 third round pick (#99-Charles Grant) on 2025-04-25,,,,
59,27-Feb,,,,,,Mike Green
,,Ravens,,,,,
60,28-Feb,,,,,,R.J. Harvey
,,Lions,Broncos,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (Rams pick) (#57-Tate Ratledge) ? 2025 seventh round pick (#230-Dan Jackson) to Lions for ? 2025 second round pick (#60-R.J. Harvey) ? 2025 fourth round pick (#130-Malachi Moore) on 2025-04-25,,,,
61,Feb-29,,,,,,Trey Amos
,,Commanders,,,,,
62,Feb-30,,,,,,Shemar Turner
,,Bills,Bears,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) to Bills for ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) on 2025-04-25,,,,
63,Feb-31,,,,,,Omarr Norman-Lott
,,Chiefs,,,,,
64,Feb-32,,,,,,Andrew Mukuba
,,Eagles,,,,,
Round 3,,,,,,,
65,1-Mar,,,,,,Darius Alexander
,,Giants,,,,,
66,2-Mar,,,,,,Ashton Gillotte
,,Titans,Chiefs,,,,
,,,,,,,
,,,Traded ? L'Jarius Sneed ? 2024 seventh round pick (#252-Jaylen Harrell) to Titans for ? 2024 seventh round pick (#221-Travis Clayton) ? 2025 third round pick (#66-Ashton Gillotte) on 2024-04-01,,,,
67,3-Mar,,,,,,Harold Fannin Jr.
,,Browns,,,,,
68,4-Mar,,,,,,Darien Porter
,,Raiders,,,,,
69,5-Mar,,,,,,Kyle Williams
,,Patriots,,,,,
70,6-Mar,,,,,,Isaac TeSlaa
,,Jaguars,Lions,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#102-Tai Felton) ? 2026 third round pickÿ(?-?)ÿ? 2026 third round pickÿ(?-?)ÿto Jaguars for ? 2025 third round pick (#70-Isaac TeSlaa) ? 2025 sixth round pick (#182-Andres Borregales) ? 2026 sixth round pickÿ(?-?)ÿon 2025-04-25,,,,
71,7-Mar,,,,,,Vernon Broughton
,,Saints,,,,,
72,8-Mar,,,,,,Landon Jackson
,,Bears,Bills,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) to Bears for ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) on 2025-04-25,,,,
73,9-Mar,,,,,,Azareye'h Thomas
,,Jets,,,,,
74,10-Mar,,,,,,Pat Bryant
,,Panthers,Broncos,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) to Panthers for ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,,,,
75,11-Mar,,,,,,Nick Martin
,,49ers,,,,,
76,12-Mar,,,,,,Shavon Revel Jr.
,,Cowboys,,,,,
77,13-Mar,,,,,,Princely Umanmielen
